feature	value	group	npmi
werk1	ʋ	1	0.75647079736603
twee3	ʋ	1	0.75647079736603
zwemmen2	ʋ	1	0.75647079736603
wijn1	ʋ	1	0.75647079736603
bier2	iˑ	1	0.569323441926607
kaas4	z	1	0.569323441926607
kaas5	ə	1	0.569323441926607
broer3	uˑ	1	0.569323441926607
huis2	u	1	0.569323441926607
zwemmen1	s	1	0.522112008812617
vinger2	i	2	1
huis1	0	2	1
zwemmen1	z	2	0.761056004406308
peer2	æː	2	0.748070363587408
zwemmen3	æ	2	0.748070363587408
drinken3	i	2	0.748070363587408
werk1	w	2	0.575716642493445
twee3	w	2	0.575716642493445
zwemmen2	w	2	0.575716642493445
wijn1	w	2	0.575716642493445
werk3	ʀ	3	1
vinger5	ʀ	3	1
bier3	ʀ	3	1
drie2	ʀ	3	1
peer3	ʀ	3	1
rijp1	ʀ	3	1
ladder6	ʀ	3	1
drinken2	ʀ	3	1
broer2	ʀ	3	1
broer4	ʀ	3	1
